nom,numero,tag1,tag2,tag3,pieces,minifigs,Value used,Value new,Prix initial2
BULK,44004-1,HERO Factory,Brain Attack,2013,50,,Random set of the day,~$13.47,"Pieces,50,RRP,$9.99 | ,More,PPP,20.0c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$28.00,Value used,~$13.47,Notes,Random set of the day, on 05 Apr 2023"
BRUIZER,44005-1,HERO Factory,Brain Attack,2013,62,,,~$9.94,"Pieces,62,RRP,$12.99 | ,More,PPP,21.0c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$26.40,Value used,~$9.94"
BREEZ,44006-1,HERO Factory,Brain Attack,2013,49,,66483-1,~$14.23,"Pieces,49,RRP,$9.99 | ,More,PPP,20.4c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$49.98,Value used,~$14.23,Related sets,Included in ,66483-1, ,66484-1, "
OGRUM,44007-1,HERO Factory,Brain Attack,2013,59,,66483-1,~$10.20,"Pieces,59,RRP,$12.99 | ,More,PPP,22.0c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$26.14,Value used,~$10.20,Related sets,Included in ,66483-1, ,66484-1, ,66485-1, "
SURGE,44008-1,HERO Factory,Brain Attack,2013,66,,66482-1,~$16.55,"Pieces,66,RRP,$12.99 | ,More,PPP,19.7c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Aug 2013 - 31 Dec 2013 (4m 30d),Value new,~$26.96,Value used,~$16.55,Related sets,Included in ,66482-1, "
ROCKA,6202-1,HERO Factory,Breakout,2012,55,,,~$13.82,"Pieces,55,RRP,$12.99 | ,More,PPP,23.6c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$36.99,Value used,~$13.82"
BLACK PHANTOM,6203-1,HERO Factory,Breakout,2012,124,,,~$33.29,"Pieces,124,RRP,$19.99 | ,More,PPP,16.1c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$97.99,Value used,~$33.29"
JAWBLADE,6216-1,HERO Factory,Breakout,2012,45,,Random set of the day,~$10.07,"Pieces,45,RRP,$8.99 | ,More,PPP,20.0c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$38.49,Value used,~$10.07,Notes,Random set of the day, on 18 Apr 2023,Related sets,Included in ,66437-1, "
SURGE,6217-1,HERO Factory,Breakout,2012,39,,,~$8.64,"Pieces,39,RRP,$8.99 | ,More,PPP,23.1c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$29.99,Value used,~$8.64"
SPLITFACE,6218-1,HERO Factory,Breakout,2012,50,,Random set of the day,~$14.36,"Pieces,50,RRP,$12.99 | ,More,PPP,26.0c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$26.99,Value used,~$14.36,Notes,Random set of the day, on 21 Mar 2023"
