nom,numero,tag1,tag2,tag3,pieces,minifigs,Value used,Value new,Prix initial2
Bikini Bottom Undersea Party,3818-1,SpongeBob SquarePants,2012,3818-1,471,4,,~$112.98,"Pieces,471,Minifigs,4, (4 unique to this set),Minifigs,bob035, ,bob036, ,bob037, ,bob038, ,RRP,$49.99 | ,More,PPP,10.6c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$253.28,Value used,~$112.98"
Deluxe Train Set,10508-1,Duplo,Trains,2013,134,3,66524-1,~$75.41,"Pieces,134,Minifigs,3, ,Minifigs,47394pb156, ,47394pb157, ,47394pb166, ,RRP,$109.99, €119.99 | ,More,PPP,82.1c, 89.5c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jun 2013 - 31 Jul 2018 (5y 1m 29d),Value new,~$185.58,Value used,~$75.41,Related sets,Included in ,66524-1, "
Kokoriko,3863-1,Games,2012,3863-1,115,,,~$6.14,"Pieces,115,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Mar 2012 - 31 Dec 2012 (10m),Value new,~$10.12,Value used,~$6.14,Notes,Not available in the US"
Dusty and Chug,10509-1,Duplo,Planes,2013,16,2,,,"Pieces,16,Minifigs,2, (1 unique to this set),Minifigs,crs030, ,crs031, ,RRP,$14.99 | ,More,PPP,93.7c,Packaging,Box,Additional images,5,Value new,~$22.91,Value used,~$13.50"
Mini-Taurus,3864-1,Games,Minotaurus,2012,165,4,~$12.99,~$26.85,"Pieces,165,Minifigs,4, (4 unique to this set),Minifigs,85863pb085, ,85863pb086, ,85863pb087, ,85863pb088, ,Packaging,Box,Instructions,Yes,Additional images,4,Designer,Bas Brederode, ,Launch/exit,1 Mar 2012 - 31 Dec 2012 (10m),Value new,~$26.85,Value used,~$12.99,Notes,Not available in the US"
Ripslinger's Air Race,10510-1,Duplo,Planes,2013,40,2,,,"Pieces,40,Minifigs,2, (2 unique to this set),Minifigs,crs029, ,crs032, ,RRP,$24.99, €29.99 | ,More,PPP,62.5c, 75.0c,Packaging,Box,Additional images,6,Value new,~$14.97,Value used,~$16.00"
City Alarm,3865-1,Games,2012,3865-1,247,6,,~$16.76,"Pieces,247,Minifigs,6, (6 unique to this set),Minifigs,85863pb073, ,85863pb074, ,RRP,$19.99 | ,More,PPP,8.1c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Mar 2012 - 31 Dec 2013 (1y 10m),Value new,~$37.04,Value used,~$16.76"
Skipper's Flight School,10511-1,Duplo,Planes,2013,53,3,,~$36.86,"Pieces,53,Minifigs,3, (2 unique to this set),Minifigs,crs030, ,crs033, ,crs048, ,RRP,$39.99 | ,More,PPP,75.5c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jul 2013 - 31 Dec 2014 (1y 6m),Value new,~$67.64,Value used,~$36.86"
Star Wars: The Battle of Hoth,3866-1,Games,Licensed,2012,305,32,~$33.90,~$75.94,"Pieces,305,Minifigs,32, (32 unique to this set),Packaging,Box,Instructions,Yes,Additional images,3,Designer,Bas Brederode, ,Launch/exit,1 Feb 2012 - 31 Dec 2013 (1y 10m 29d),Value new,~$75.94,Value used,~$33.90,Notes,Not available in the US"
Jake's Treasure Hunt,10512-1,Duplo,Jake and the Never Land Pirates,2013,22,1,,,"Pieces,22,Minifigs,1, ,Minifigs,47394pb162, ,RRP,$14.99 | ,More,PPP,68.1c,Packaging,Box,Additional images,5,Value new,~$53.60,Value used,~$13.46"
Ilrion,3874-1,Games,Heroica,2012,240,8,,~$50.65,"Pieces,240,Minifigs,8, (7 unique to this set),Minifigs,85863pb060, ,85863pb089, ,85863pb090, ,85863pb091, ,85863pb092, ,85863pb093, ,RRP,$19.99 | ,More,PPP,8.3c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Aug 2012 - 31 Jul 2013 (11m 29d),Value new,~$51.27,Value used,~$50.65"
Never Land Hideout,10513-1,Duplo,Jake and the Never Land Pirates,2013,37,2,,~$15.83,"Pieces,37,Minifigs,2, (1 unique to this set),Minifigs,47205pb027, ,47394pb163, ,RRP,$24.99 | ,More,PPP,67.5c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jun 2013 - 31 Dec 2014 (1y 6m 30d),Value new,~$39.57,Value used,~$15.83"
The Hobbit: An Unexpected Journey,3920-1,Games,Licensed,2012,394,4,~$22.77,~$44.00,"Pieces,394,Minifigs,4, (4 unique to this set),Minifigs,85863pb094, ,85863pb095, ,85863pb096, ,85863pb097, ,RRP,$34.99 | ,More,PPP,8.9c,Packaging,Box,Instructions,Yes,Additional images,4,Designer,Max Valembois, ,Launch/exit,1 Oct 2012 - 31 Dec 2013 (1y 2m 29d),Value new,~$44.00,Value used,~$22.77"
Jake's Pirate Ship Bucky,10514-1,Duplo,Jake and the Never Land Pirates,2013,56,2,,~$59.34,"Pieces,56,Minifigs,2, ,Minifigs,47394pb162, ,47394pb164, ,RRP,$39.99, €49.99 | ,More,PPP,71.4c, 89.3c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jun 2013 - 31 Dec 2015 (2y 6m 29d),Value new,~$81.00,Value used,~$59.34"
Stephanie's Outdoor Bakery,3930-1,Friends,Baking,2012,45,1,,~$2.94,"Pieces,45,Minifigs,1, (1 unique to this set),Minifigs,frnd002, ,RRP,$6.99 | ,More,PPP,15.5c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$5.62,Value used,~$2.94"
Ariel's Undersea Castle,10515-1,Duplo,Disney Princess,2013,39,1,,~$35.00,"Pieces,39,Minifigs,1, ,Minifigs,dupmermaid01, ,RRP,$29.99 | ,More,PPP,76.9c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$99.95,Value used,~$35.00"
Emma's Splash Pool,3931-1,Friends,Summer,2012,43,1,,~$3.64,"Pieces,43,Minifigs,1, (1 unique to this set),Minifigs,frnd001, ,RRP,$5.99 | ,More,PPP,13.9c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$8.76,Value used,~$3.64"
Ariel's Magical Boat Ride,10516-1,Duplo,Disney Princess,2013,30,2,,,"Pieces,30,Minifigs,2, (2 unique to this set),Minifigs,47394pb154, ,47394pb155, ,RRP,$14.99 | ,More,PPP,50.0c,Packaging,Box,Additional images,5,Value new,~$25.76,Value used,~$24.12"
Andrea's Stage,3932-1,Friends,Music,2012,87,1,Random set of the day,~$8.45,"Pieces,87,Minifigs,1, (1 unique to this set),Minifigs,frnd004, ,RRP,$9.99 | ,More,PPP,11.5c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$14.00,Value used,~$8.45,Notes,Random set of the day, on 12 Apr 2023"
My First Garden,10517-1,Duplo,2013,10517-1,38,1,,,"Pieces,38,Minifigs,1, ,Minifigs,47205pb025, ,RRP,$12.99 | ,More,PPP,34.2c,Packaging,Box,Additional images,4,Value new,~$50.00,Value used,~$16.71"
Olivia's Invention Workshop,3933-1,Friends,Science,2012,81,1,,~$6.10,"Pieces,81,Minifigs,1, (1 unique to this set),Minifigs,frnd006, ,RRP,$9.99 | ,More,PPP,12.3c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$19.99,Value used,~$6.10"
Mia's Puppy House,3934-1,Friends,Pets,2012,64,1,66434-1,~$5.33,"Pieces,64,Minifigs,1, (1 unique to this set),Minifigs,frnd005, ,RRP,$9.99 | ,More,PPP,15.6c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$19.21,Value used,~$5.33,Related sets,Included in ,66434-1, ,66435-1, "
My First Construction Site,10518-1,Duplo,Construction,2013,43,2,,,"Pieces,43,Minifigs,2, ,Minifigs,47394pb156, ,47394pb157, ,RRP,$19.99, €19.99 | ,More,PPP,46.5c, 46.5c,Packaging,Box,Additional images,5,Value new,~$40.81,Value used,~$9.99"
Garbage Truck,10519-1,Duplo,2013,10519-1,16,1,,,"Pieces,16,Minifigs,1, ,Minifigs,47394pb157, ,RRP,$19.99 | ,More,PPP,124.9c,Packaging,Box,Instructions,Yes,Additional images,6,Value new,~$33.19,Value used,~$21.81,Notes,In the US, this set is exclusive to Target."
Big Front Loader,10520-1,Duplo,2013,10520-1,12,1,,,"Pieces,12,Minifigs,1, ,Minifigs,47394pb156, ,RRP,$19.99 | ,More,PPP,166.6c,Packaging,Box,Additional images,5,Value new,~$51.10,Value used,~$10.00"
Circus Transport,10550-1,Duplo,Circus,2013,9,1,,,"Pieces,9,Minifigs,1, ,Minifigs,47394pb151, ,RRP,$19.99 | ,More,PPP,222.1c,Packaging,Box,Additional images,2,Value new,~$45.00"
Creative Cars,10552-1,Duplo,2013,10552-1,40,,,,"Pieces,40,RRP,$19.99, €14.99 | ,More,PPP,50.0c, 37.5c,Packaging,Box,Additional images,5,Value new,~$33.28,Value used,~$15.32"
Toddler Build and Play Cubes,10553-1,Duplo,2013,10553-1,17,,,,"Pieces,17,RRP,$12.99 | ,More,PPP,76.4c,Packaging,Box,Additional images,5,Value new,~$16.63,Value used,~$7.68"
Toddler Build and Pull Along,10554-1,Duplo,2013,10554-1,15,,,,"Pieces,15,RRP,$14.99, €19.99 | ,More,PPP,99.9c, 133.3c,Packaging,Box,Additional images,5,Value new,~$24.01,Value used,~$10.00"
Creative Bucket,10555-1,Duplo,2013,10555-1,65,,,,"Pieces,65,RRP,$29.99 | ,More,PPP,46.1c,Packaging,Bucket,Additional images,4"
Creative Chest,10556-1,Duplo,2013,10556-1,106,2,,,"Pieces,106,Minifigs,2, ,Minifigs,47205pb026, ,47205pb028, ,RRP,$44.99 | ,More,PPP,42.4c,Packaging,Tub,Instructions,Yes,Additional images,2,Launch/exit,1 Jun 2013 - 31 Dec 2013 (6m 30d),Value new,~$27.76"
Giant Tower,10557-1,Duplo,2013,10557-1,200,,,,"Pieces,200,RRP,$59.99 | ,More,PPP,30.0c,Packaging,Canister,Additional images,6,Value new,~$60.00,Value used,~$46.15"
Number Train,10558-1,Duplo,Trains,2013,31,1,,,"Pieces,31,Minifigs,1, ,Minifigs,47205pb026, ,RRP,$19.99, €19.99 | ,More,PPP,64.5c, 64.5c,Packaging,Box,Additional images,5,Value new,~$17.39,Value used,~$8.10"
A Fairy Tale,10559-1,Duplo,2013,10559-1,15,,,,"Pieces,15,RRP,$12.99 | ,More,PPP,86.6c,Packaging,Blister pack,Additional images,7,Value new,~$14.99,Value used,~$7.68"
Peekaboo Jungle,10560-1,Duplo,2013,10560-1,13,,,,"Pieces,13,RRP,$12.99 | ,More,PPP,99.9c,Packaging,Blister pack,Additional images,7,Value new,~$14.89,Value used,~$10.51"
Toddler Starter Building Set,10561-1,Duplo,2013,10561-1,37,,,,"Pieces,37,RRP,$19.99 | ,More,PPP,54.0c,Packaging,Box,Additional images,5,Value new,~$26.00,Value used,~$7.08"
LEGO Monster Trucks,10655-1,Bricks and More,2013,10655-1,197,3,,~$17.00,"Pieces,197,Minifigs,3, (3 unique to this set),Minifigs,twn182, ,twn183, ,twn184, ,RRP,$19.99 | ,More,PPP,10.1c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$28.32,Value used,~$17.00"
My First LEGO Princess,10656-1,Bricks and More,2013,10656-1,88,1,,,"Pieces,88,Minifigs,1, (1 unique to this set),Minifigs,cas515, ,RRP,$9.99 | ,More,PPP,11.4c,Packaging,Box,Instructions,Yes,Additional images,6,Value new,~$20.00,Value used,~$6.59"
My First LEGO Set,10657-1,Bricks and More,2013,10657-1,148,1,,~$13.63,"Pieces,148,Minifigs,1, (1 unique to this set),Minifigs,cty0368, ,RRP,$14.99 | ,More,PPP,10.1c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$12.81,Value used,~$13.63"
LEGO® Blue Suitcase,10659-1,Bricks and More,2013,10659-1,146,2,,~$7.50,"Pieces,146,Minifigs,2, ,Minifigs,twn173, ,twn174, ,RRP,$24.99, €24.99 | ,More,PPP,17.1c, 17.1c,Packaging,Other,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$40.10,Value used,~$7.50,Notes,Repackaged in 2014 to become part of LEGO Juniors theme and renamed ""Vehicle Suitcase"". The case was changed from blue hues to red hues for the repackaging."
LEGO® Pink Suitcase,10660-1,Bricks and More,2013,10660-1,151,2,,~$20.39,"Pieces,151,Minifigs,2, (1 unique to this set),Minifigs,twn171, ,twn172, ,RRP,$24.99 | ,More,PPP,16.5c,Packaging,Other,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$26.91,Value used,~$20.39,Notes,Repackaged in 2014 to become part of LEGO Juniors theme and renamed ""House Suitcase""."
My First LEGO Fire Station,10661-1,Bricks and More,2013,10661-1,90,1,,~$5.11,"Pieces,90,Minifigs,1, (1 unique to this set),Minifigs,twn175, ,RRP,$9.99 | ,More,PPP,11.1c,Packaging,Box,Instructions,Yes,Additional images,5,Designer,Jonathan Robson, ,Value new,~$23.02,Value used,~$5.11"
LEGO Creative Bucket,10662-1,Bricks and More,2013,10662-1,607,,~$29.13,~$49.99,"Pieces,607,RRP,$29.99 | ,More,PPP,4.9c,Packaging,Bucket,Instructions,Yes,Additional images,6,Designer,Jonathan Robson, ,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$49.99,Value used,~$29.13"
Creative Chest,10663-1,Bricks and More,2013,10663-1,609,3,~$44.12,~$104.24,"Pieces,609,Minifigs,3, (3 unique to this set),Minifigs,cty0426, ,cty0427, ,cty0428, ,Packaging,Tub,Instructions,Yes,Additional images,5,Designer,Jonathan Robson, ,Launch/exit,1 Jun 2013 - 31 Dec 2013 (6m 30d),Value new,~$104.24,Value used,~$44.12"
Creative Tower,10664-1,Bricks and More,2013,10664-1,1600,,,10654-1,"Pieces,1600,Packaging,Canister,Additional images,5,Value new,~$85.00,Value used,~$43.51,Related sets,Re-released as ,10654-1, "
Batman: Arkham Asylum Breakout,10937-1,DC Comics Super Heroes,Batman,2013,1619,8,,~$187.14,"Pieces,1619,Minifigs,8, (5 unique to this set),RRP,$159.99 | ,More,PPP,9.9c,Packaging,Box,Instructions,Yes,Additional images,25,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$210.30,Value used,~$187.14"
The Leaning Tower of Pisa,21015-1,Architecture,Landmark Series,2013,345,,~$49.97,~$142.15,"Pieces,345,RRP,$34.99, €34.99 | ,More,PPP,10.1c, 10.1c,Packaging,Box,Instructions,Yes,Additional images,2,Designer,Steen Sig Andersen, ,Launch/exit,1 Jun 2013 - 31 Dec 2015 (2y 6m 29d),Value new,~$142.15,Value used,~$49.97"
Stephanie's Pet Patrol,3935-1,Friends,Pets,2012,73,1,66434-1,~$4.16,"Pieces,73,Minifigs,1, (1 unique to this set),Minifigs,frnd003, ,RRP,$9.99 | ,More,PPP,13.7c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$13.50,Value used,~$4.16,Related sets,Included in ,66434-1, "
Emma's Fashion Design Studio,3936-1,Friends,Art,2012,79,1,66435-1,~$7.01,"Pieces,79,Minifigs,1, (1 unique to this set),Minifigs,frnd007, ,RRP,$9.99 | ,More,PPP,12.6c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$19.04,Value used,~$7.01,Related sets,Included in ,66435-1, "
Olivia's Speedboat,3937-1,Friends,Beach,2012,65,1,,~$3.75,"Pieces,65,Minifigs,1, (1 unique to this set),Minifigs,frnd023, ,RRP,$9.99 | ,More,PPP,15.4c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jun 2012 - 31 Dec 2012 (6m 30d),Value new,~$9.00,Value used,~$3.75"
Andrea's Bunny House,3938-1,Friends,Pets,2012,62,1,Random set of the day,~$3.43,"Pieces,62,Minifigs,1, (1 unique to this set),Minifigs,frnd024, ,RRP,$9.99 | ,More,PPP,16.1c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jun 2012 - 31 Jul 2013 (1y 1m 29d),Value new,~$10.54,Value used,~$3.43,Notes,Random set of the day, on 06 Apr 2023"
Mia's Bedroom,3939-1,Friends,Bedrooms,2012,85,1,,~$3.39,"Pieces,85,Minifigs,1, (1 unique to this set),Minifigs,frnd022, ,RRP,$9.99 | ,More,PPP,11.8c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jun 2012 - 31 Jul 2013 (1y 1m 29d),Value new,~$25.00,Value used,~$3.39"
Heartlake Dog Show,3942-1,Friends,Pets,2012,183,1,,~$13.50,"Pieces,183,Minifigs,1, (1 unique to this set),Minifigs,frnd009, ,RRP,$19.99 | ,More,PPP,10.9c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$50.00,Value used,~$13.50"
Mining 4x4,4200-1,City,Mining,2012,102,1,~$5.26,~$16.90,"Pieces,102,Minifigs,1, ,Minifigs,cty0309, ,RRP,$11.99 | ,More,PPP,11.8c,Packaging,Box,Instructions,Yes,Additional images,5,Designer,Samuel Johnson, ,Launch/exit,1 Jun 2012 - 31 Dec 2013 (1y 6m 30d),Value new,~$16.90,Value used,~$5.26"
Loader and Tipper,4201-1,City,Mining,2012,139,2,~$9.68,~$38.01,"Pieces,139,Minifigs,2, ,Minifigs,cty0310, ,cty0311, ,RRP,$17.99 | ,More,PPP,12.9c,Packaging,Box,Instructions,Yes,Additional images,6,Designer,Samuel Johnson, ,Launch/exit,1 Jun 2012 - 31 Dec 2014 (2y 6m 29d),Value new,~$38.01,Value used,~$9.68"
Mining Truck,4202-1,City,Mining,2012,269,1,~$28.09,~$58.74,"Pieces,269,Minifigs,1, ,Minifigs,cty0311, ,RRP,$34.99 | ,More,PPP,13.0c,Packaging,Box,Instructions,Yes,Additional images,5,Designer,Pierre Normandin, ,Launch/exit,1 Jun 2012 - 31 Dec 2012 (6m 30d),Value new,~$58.74,Value used,~$28.09"
Excavator Transporter,4203-1,City,Mining,2012,305,2,~$29.44,~$81.29,"Pieces,305,Minifigs,2, (2 unique to this set),Minifigs,cty0333, ,cty0334, ,RRP,$39.99 | ,More,PPP,13.1c,Packaging,Box,Instructions,Yes,Additional images,6,Designer,Pierre Normandin, ,Launch/exit,1 Jun 2012 - 31 Dec 2014 (2y 6m 29d),Value new,~$81.29,Value used,~$29.44"
The Mine,4204-1,City,Mining,2012,748,4,Random set of the day,~$83.00,"Pieces,748,Minifigs,4, (1 unique to this set),Minifigs,cty0309, ,cty0310, ,cty0311, ,cty0322, ,RRP,$99.99 | ,More,PPP,13.4c,Packaging,Box,Instructions,Yes,Additional images,8,Launch/exit,1 Jun 2012 - 31 Dec 2014 (2y 6m 29d),Value new,~$193.87,Value used,~$83.00,Notes,Random set of the day, on 09 Sep 2022"
Off-road Command Centre,4205-1,City,Forest Police,2012,403,3,~$34.00,~$53.88,"Pieces,403,Minifigs,3, (2 unique to this set),Minifigs,cty0264, ,cty0283, ,cty0284, ,RRP,$39.99 | ,More,PPP,9.9c,Packaging,Box,Instructions,Yes,Additional images,17,Designer,Pierre Normandin, ,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$53.88,Value used,~$34.00,Notes,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. "
Recycling Truck,4206-2,City,Great Vehicles,2012,297,3,,~$27.79,"Pieces,297,Minifigs,3, (3 unique to this set),Minifigs,cty0292, ,cty0293, ,cty0294, ,RRP,$29.99 | ,More,PPP,10.1c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$56.06,Value used,~$27.79,Notes,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. "
City Garage,4207-1,City,Town,2012,933,5,~$99.98,~$155.02,"Pieces,933,Minifigs,5, (5 unique to this set),Minifigs,cty0313, ,cty0314, ,cty0315, ,cty0316, ,oct069, ,RRP,$119.99 | ,More,PPP,12.9c,Packaging,Box,Instructions,Yes,Additional images,8,Designer,Samuel Johnson, ,Launch/exit,1 Jun 2012 - 31 Dec 2013 (1y 6m 30d),Value new,~$155.02,Value used,~$99.98,Notes,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. "
Fire Truck,4208-1,City,Forest Fire,2012,243,1,66426-1,~$12.02,"Pieces,243,Minifigs,1, (1 unique to this set),Minifigs,cty0286, ,RRP,$19.99 | ,More,PPP,8.2c,Packaging,Box,Instructions,Yes,Additional images,11,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$47.00,Value used,~$12.02,Related sets,Included in ,66426-1, "
Fire Plane,4209-1,City,Forest Fire,2012,522,3,Random set of the day,~$47.36,"Pieces,522,Minifigs,3, (2 unique to this set),Minifigs,cty0278, ,cty0279, ,cty0280, ,RRP,$59.99 | ,More,PPP,11.5c,Packaging,Box,Instructions,Yes,Additional images,18,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$61.51,Value used,~$47.36,Notes,Random set of the day, on 07 Aug 2022,Related sets,Included in ,66426-1, "
Fire ATV,4427-1,City,Forest Fire,2012,50,1,~$3.91,~$10.00,"Pieces,50,Minifigs,1, ,Minifigs,cty0287, ,RRP,$5.99 | ,More,PPP,12.0c,Packaging,Box,Instructions,Yes,Additional images,13,Designer,Pierre Normandin, ,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$10.00,Value used,~$3.91,Notes,Random set of the day, on 24 Jul 2023,Related sets,Included in ,66426-1, "
LEGO City Advent Calendar,4428-1,City,Seasonal,2012,248,7,~$17.50,~$30.99,"Pieces,248,Minifigs,7, (5 unique to this set),Minifigs,cty0302, ,cty0335, ,cty0336, ,cty0337, ,cty0338, ,cty0339, ,hol014, ,RRP,$39.99 | ,More,PPP,16.1c,Packaging,Box,Instructions,Yes,Additional images,8,Designer,Samuel Johnson, ,Launch/exit,1 Sep 2012 - 31 Dec 2012 (3m 29d),Value new,~$30.99,Value used,~$17.50,Notes,Random set of the day, on 14 Jan 2022"
Helicopter Rescue,4429-1,City,Medical,2012,425,4,,~$40.00,"Pieces,425,Minifigs,4, (3 unique to this set),Minifigs,cty0278, ,cty0317, ,cty0318, ,cty0319, ,RRP,$59.99 | ,More,PPP,14.1c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jun 2012 - 31 Dec 2013 (1y 6m 30d),Value new,~$87.57,Value used,~$40.00,Notes,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. "
Fire Transporter,4430-1,City,Forest Fire,2012,522,3,~$51.81,~$136.10,"Pieces,522,Minifigs,3, (1 unique to this set),Minifigs,cty0300, ,cty0301, ,cty0302, ,RRP,$49.99 | ,More,PPP,9.6c,Packaging,Box,Instructions,Yes,Additional images,17,Designer,Henrik Andersen, ,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$136.10,Value used,~$51.81,Notes,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. "
Ambulance,4431-1,City,Great Vehicles,2012,199,3,66451-1,~$30.45,"Pieces,199,Minifigs,3, (3 unique to this set),Minifigs,cty0270, ,cty0271, ,cty0272, ,RRP,$19.99 | ,More,PPP,10.0c,Packaging,Box,Instructions,Yes,Additional images,5,Designer,Samuel Johnson, ,Value new,~$91.10,Value used,~$30.45,Related sets,Included in ,66451-1, "
Garbage Truck,4432-1,City,Great Vehicles,2012,208,2,66451-1,~$20.84,"Pieces,208,Minifigs,2, (2 unique to this set),Minifigs,cty0268, ,cty0269, ,RRP,$19.99 | ,More,PPP,9.6c,Packaging,Box,Instructions,Yes,Additional images,5,Designer,Henrik Andersen, ,Value new,~$75.34,Value used,~$20.84,Related sets,Included in ,66451-1, "
Dirt Bike Transporter,4433-1,City,Great Vehicles,2012,201,2,66451-1,~$13.31,"Pieces,201,Minifigs,2, (2 unique to this set),Minifigs,oct066, ,oct067, ,RRP,$19.99 | ,More,PPP,9.9c,Packaging,Box,Instructions,Yes,Additional images,15,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$46.25,Value used,~$13.31,Related sets,Included in ,66451-1, "
Dump Truck,4434-1,City,Great Vehicles,2012,222,2,~$27.77,~$50.53,"Pieces,222,Minifigs,2, (1 unique to this set),Minifigs,cty0290, ,cty0291, ,RRP,$19.99 | ,More,PPP,9.0c,Packaging,Box,Instructions,Yes,Additional images,11,Designer,Pierre Normandin, ,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$50.53,Value used,~$27.77"
Car and Caravan,4435-1,City,Great Vehicles,2012,218,2,Random set of the day,~$17.29,"Pieces,218,Minifigs,2, (2 unique to this set),Minifigs,cty0261, ,cty0262, ,RRP,$19.99 | ,More,PPP,9.2c,Packaging,Box,Instructions,Yes,Additional images,6,Designer,Pierre Normandin, ,Value new,~$42.94,Value used,~$17.29,Notes,Random set of the day, on 19 Jan 2022,Related sets,Included in ,66451-1, "
Imperial Hotel,21017-1,Architecture,Architect Series,2013,1188,,~$117.67,~$169.71,"Pieces,1188,RRP,$129.99, €119.99 | ,More,PPP,10.9c, 10.1c,Packaging,Box,Instructions,Yes,Additional images,6,Designers,Rok Zgalin Kobe, ,Steen Sig Andersen, ,Launch/exit,1 Mar 2013 - 31 Dec 2015 (2y 10m),Value new,~$169.71,Value used,~$117.67"
United Nations Headquarters,21018-1,Architecture,Landmark Series,2013,597,,~$69.32,~$121.10,"Pieces,597,RRP,$49.99, €49.99 | ,More,PPP,8.4c, 8.4c,Packaging,Box,Instructions,Yes,Additional images,5,Designers,Rok Zgalin Kobe, ,Steen Sig Andersen, ,Launch/exit,1 Oct 2013 - 31 Dec 2015 (2y 2m 29d),Value new,~$121.10,Value used,~$69.32"
Studio,21050-1,Architecture,Miscellaneous,2013,1210,,,~$224.86,"Pieces,1210,RRP,$159.99, €159.99 | ,More,PPP,13.2c, 13.2c,Packaging,Box,Instructions,Yes,Additional images,7,Designers,Rok Zgalin Kobe, ,Steen Sig Andersen, ,Value new,~$341.67,Value used,~$224.86,Notes,Associated with Architecture Studio event(s) in the USA at Barnes and Noble, July 2013. Also available from Shop At Home."
The DeLorean Time Machine,21103-1,Ideas,Licensed,2013,401,2,~$90.36,~$138.38,"Pieces,401,Minifigs,2, (1 unique to this set),Minifigs,idea001, ,idea002, ,RRP,$34.99, €39.99 | ,More,PPP,8.7c, 10.0c,Packaging,Box,Instructions,Yes,Additional images,5,Designer,Steen Sig Andersen, ,Launch/exit,1 Aug 2013 - 31 Dec 2014 (1y 4m 30d),Value new,~$138.38,Value used,~$90.36,Notes,Based on project ""Back to the Future (BTTF) - DeLorean Time Machine"" by user 'm.togami'.,Theme labelled as CUUSOO (No. 4)"
